slug,titleOfOffVocal,albumTitle,publishedAt,albumDescription,albumURL,remarks
harukaze,ハルカゼ～You were here～-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
punchdRanker,PUNCH’D RANKER-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
trigger,TRIGGER-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
fireAndRose,Fire and Rose-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
luckyLucky,Lucky☆Lucky-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
winningDay,Winning Day-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
worldsEnd,WORLD’S END-OFF VOCAL-,THE STRAIGHT LIGHT,2018年7月4日発売,Tokyo 7th シスターズ 3rd Album,http://t7s.jp/release/cd/20.html,プレミアムボックスのみ収録. 曲名と -OFF VOCAL- の間に半角スペースなし.
hanasakiOtome,花咲キオトメ -OFF VOCAL-,花咲キオトメ,2019年3月20日,七花少女 Debut Single,http://t7s.jp/release/cd/26.html,
snowDrop,スノードロップ –OFF VOCAL-,花咲キオトメ,2019年3月20日,七花少女 Debut Single,http://t7s.jp/release/cd/26.html,OFF VOCAL の前のハイフンがいわゆる半角ハイフン(`MINUS SIGN 0x2212`)ではなく `EN DASH 0x2013`. ビクターのサイト上でもこの表記.
trick,TRICK -OFF VOCAL-,TRICK,2019年3月20日,Ci+LUS 2nd Single,http://t7s.jp/release/cd/27.html,
sorairoSkip,空色スキップ -OFF VOCAL-,TRICK,2019年3月20日,Ci+LUS 2nd Single,http://t7s.jp/release/cd/27.html,
heavensRave,HEAVEN'S RAVE -OFF VOCAL-,HEAVEN'S RAVE,2019年5月22日,AXiS 1st Single,http://t7s.jp/release/cd/28.html,
cocytus,COCYTUS –OFF VOCAL-,HEAVEN'S RAVE,2019年5月22日,AXiS 1st Single,http://t7s.jp/release/cd/28.html,OFF VOCAL の前のハイフンがいわゆる半角ハイフン(`MINUS SIGN 0x2212`)ではなく `EN DASH 0x2013`. ビクターのサイト上では半角ハイフン表記.
mitsubachi,ミツバチ -OFF VOCAL-,ミツバチ,2019年6月19日,Le☆S☆Ca 3rd Single,http://t7s.jp/release/cd/30.html,
hiyokoNoUta,ひよこのうた -OFF VOCAL-,ミツバチ,2019年6月19日,Le☆S☆Ca 3rd Single,http://t7s.jp/release/cd/30.html,
natsukage,NATSUKAGE-夏陰- -OFF VOCAL-,NATSUKAGE-夏陰-,2019年6月19日,777☆SISTERS New Single,http://t7s.jp/release/cd/31.html,
